Country,Region,Population,Area_sq_mi,Pop_Density_per_sq_mi,Coastline_coast_area_ratio,Net_migration,Infant_mortality_per_thousand_birth,Literacy,Phones_per_thousand,Arable,Crops,Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Swaziland,Africa,1136334,17363,65.5,0,0,69.27,81.6,30.8,10.35,0.7,2.5,27.41,29.74,0.119,0.515,0.366
Sweden,Europe,9016596,449964,20,0.72,1.67,2.77,99,715,6.54,0.01,3,10.27,10.31,0.011,0.282,0.707
Switzerland,Europe,7523934,41290,182.2,0,4.05,4.39,99,680.9,10.42,0.61,3,9.71,8.49,0.015,0.34,0.645
Syria,Asia,18881361,185180,102,0.1,0,29.53,76.9,153.8,25.22,4.43,1,27.76,4.81,0.249,0.23,0.519
Taiwan,Asia,23036087,35980,640.3,4.35,0,6.4,96.1,591,24,1,2,12.56,6.48,0.018,0.259,0.723
Tajikistan,Asia,7320815,143100,51.2,0,-2.86,110.76,99.4,33.5,6.61,0.92,2,32.65,8.25,0.234,0.286,0.48
Tanzania,Africa,37445392,945087,39.6,0.15,-2.06,98.54,78.2,4,4.52,1.08,,37.71,16.39,0.432,0.172,0.396
Thailand,Asia,64631595,514000,125.7,0.63,0,20.48,92.6,108.9,29.36,6.46,2,13.87,7.04,0.099,0.441,0.46
Togo,Africa,5548702,56785,97.7,0.1,0,66.61,60.9,10.6,46.15,2.21,2,37.01,9.83,0.395,0.204,0.401
Tonga,Oceania,114689,748,153.3,56.02,0,12.62,98.5,97.7,23.61,43.06,2,25.37,5.28,0.23,0.27,0.5
Trinidad&Tobago,NorthAmerica,1065842,5128,207.9,7.06,-10.83,24.31,98.6,303.5,14.62,9.16,2,12.9,10.57,0.007,0.57,0.423
Tunisia,Africa,10175014,163610,62.2,0.7,-0.57,24.77,74.2,123.6,17.86,13.74,3,15.52,5.13,0.132,0.318,0.55
Turkey,Asia,70413958,780580,90.2,0.92,0,41.04,86.5,269.5,30.93,3.31,3,16.62,5.97,0.117,0.298,0.585
Turkmenistan,Asia,5042920,488100,10.3,0,-0.86,73.08,98,74.6,3.72,0.14,1,27.61,8.6,0.209,0.38,0.411
Turks&CaicosIs,NorthAmerica,21152,430,49.2,90.47,11.68,15.67,98,269.5,2.33,0,2,21.84,4.21,,,
Tuvalu,Oceania,11810,26,454.2,92.31,0,20.03,,59.3,0,0,2,22.18,7.11,0.166,0.272,0.562
Uganda,Africa,28195754,236040,119.5,0,0,67.83,69.9,3.6,25.88,10.65,2,47.35,12.24,0.311,0.222,0.469
Ukraine,Asia,46710816,603700,77.4,0.46,-0.39,20.34,99.7,259.9,56.21,1.61,3,8.82,14.39,0.187,0.452,0.361
UnitedArabEmirates,Asia,2602713,82880,31.4,1.59,1.03,14.51,77.9,475.3,0.6,2.25,1,18.96,4.4,0.04,0.585,0.375
UnitedKingdom,Europe,60609153,244820,247.6,5.08,2.19,5.16,99,543.5,23.46,0.21,3,10.71,10.13,0.005,0.237,0.758
UnitedStates,NorthAmerica,298444215,9631420,31,0.21,3.41,6.5,97,898,19.13,0.22,3,14.14,8.26,0.01,0.204,0.787
Uruguay,SouthAmerica,3431932,176220,19.5,0.37,-0.32,11.95,98,291.4,7.43,0.23,3,13.91,9.05,0.093,0.311,0.596
Uzbekistan,Asia,27307134,447400,61,0,-1.72,71.1,99.3,62.9,10.83,0.83,1,26.36,7.84,0.342,0.229,0.43
Vanuatu,Oceania,208869,12200,17.1,20.72,0,55.16,53,32.6,2.46,7.38,2,22.72,7.82,0.26,0.12,0.62
Venezuela,SouthAmerica,25730435,912050,28.2,0.31,-0.04,22.2,93.4,140.1,2.95,0.92,2,18.71,4.92,0.04,0.419,0.541
Vietnam,Asia,84402966,329560,256.1,1.05,-0.45,25.95,90.3,187.7,19.97,5.95,2,16.86,6.22,0.209,0.41,0.381
VirginIslands,NorthAmerica,108605,1910,56.9,9.84,-8.94,8.03,,652.8,11.76,2.94,2,13.96,6.43,0.01,0.19,0.8
WallisandFutuna,Oceania,16025,274,58.5,47.08,,,50,118.6,5,25,2,,,,,
WestBank,Asia,2460492,5860,419.9,0,2.98,19.62,,145.2,16.9,18.97,3,31.67,3.92,0.09,0.28,0.63
WesternSahara,Africa,273008,266000,1,0.42,,,,,0.02,0,1,,,,,0.4
Yemen,Asia,21456188,527970,40.6,0.36,0,61.5,50.2,37.2,2.78,0.24,1,42.89,8.3,0.135,0.472,0.393
Zambia,Africa,11502010,752614,15.3,0,0,88.29,80.6,8.2,7.08,0.03,2,41,19.93,0.22,0.29,0.489
Zimbabwe,Africa,12236805,390580,31.3,0,0,67.69,90.7,26.8,8.32,0.34,2,28.01,21.84,0.179,0.243,0.579
