Country,Region,Population,Area_sq_mi,Pop_Density_per_sq_mi,Coastline_coast_area_ratio,Net_migration,Infant_mortality_per_thousand_birth,Literacy,Phones_per_thousand,Arable,Crops,Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Malawi,Africa,13013926,118480,109.8,0,0,103.32,62.7,7.9,23.38,1.49,2,43.13,19.33,0.342,0.158,0.499
Malaysia,Asia,24385858,329750,74,1.42,0,17.7,88.7,179,5.48,17.61,2,22.86,5.05,0.084,0.48,0.436
Maldives,Asia,359008,300,1196.7,214.67,0,56.52,97.2,90,13.33,16.67,2,34.81,7.06,0.2,0.18,0.62
Mali,Africa,11716829,1240000,9.5,0,-0.33,116.79,46.4,6.4,3.82,0.03,2,49.82,16.89,0.45,0.17,0.38
Malta,Europe,400214,316,1266.5,62.28,2.07,3.89,92.8,505,28.13,3.13,,10.22,8.1,0.03,0.23,0.74
MarshallIslands,Oceania,60422,11854,5.1,3.12,-6.04,29.45,93.7,91.2,16.67,38.89,2,33.05,4.78,0.317,0.149,0.534
Martinique,NorthAmerica,436131,1100,396.5,31.82,-0.05,7.09,97.7,394.4,10.38,9.43,2,13.74,6.48,0.06,0.11,0.83
Mauritania,Africa,3177388,1030700,3.1,0.07,0,70.89,41.7,12.9,0.48,0.01,1,40.99,12.16,0.25,0.29,0.46
Mauritius,Africa,1240827,2040,608.3,8.68,-0.9,15.03,85.6,289.3,49.26,2.96,2,15.43,6.86,0.059,0.298,0.643
Mayotte,Africa,201234,374,538.1,49.52,6.78,62.4,,49.7,,,2,40.95,7.7,,,
Mexico,NorthAmerica,107449525,1972550,54.5,0.47,-4.87,20.91,92.2,181.6,12.99,1.31,1.5,20.69,4.74,0.038,0.259,0.702
Micronesia.Fed.St.,Oceania,108004,702,153.9,870.66,-20.99,30.21,89,114.8,5.71,45.71,2,24.68,4.75,0.289,0.152,0.559
Moldova,Asia,4466706,33843,132,0,-0.26,40.42,99.1,208.1,55.3,10.79,,15.7,12.64,0.213,0.233,0.555
Monaco,Europe,32543,2,16271.5,205,7.75,5.43,99,1035.6,0,0,,9.19,12.91,0.17,,
Mongolia,Asia,2832224,1564116,1.8,0,0,53.79,97.8,55.1,0.77,0,1,21.59,6.95,0.206,0.214,0.58
Montserrat,NorthAmerica,9439,102,92.5,39.22,0,7.35,97,,20,0,2,17.59,7.1,,,
Morocco,Africa,33241259,446550,74.4,0.41,-0.98,41.62,51.7,40.4,19.61,2.17,,21.98,5.58,0.217,0.357,0.426
Mozambique,Africa,19686505,801590,24.6,0.31,0,130.79,47.8,3.5,5.1,0.3,2,35.18,21.35,0.262,0.348,0.39
Namibia,Africa,2044147,825418,2.5,0.19,0,48.98,84,62.6,0.99,0,1,24.32,18.86,0.097,0.315,0.588
Nauru,Oceania,13287,21,632.7,142.86,0,9.95,,143,0,0,2,24.76,6.7,,,
Nepal,Asia,28287147,147181,192.2,0,0,66.98,45.2,15.9,21.68,0.64,,30.98,9.31,0.38,0.21,0.41
Netherlands,Europe,16491461,41526,397.1,1.09,2.91,5.04,99,460.8,26.71,0.97,3,10.9,8.68,0.021,0.244,0.736
NetherlandsAntilles,NorthAmerica,221736,960,231,37.92,-0.41,10.03,96.7,365.3,10,0,2,14.78,6.45,0.01,0.15,0.84
NewCaledonia,Oceania,219246,19060,11.5,11.83,0,7.72,91,252.2,0.38,0.33,2,18.11,5.69,0.15,0.088,0.762
NewZealand,Oceania,4076140,268680,15.2,5.63,4.05,5.85,99,441.7,5.6,6.99,3,13.76,7.53,0.043,0.273,0.684
Nicaragua,NorthAmerica,5570129,129494,43,0.7,-1.22,29.11,67.5,39.7,15.94,1.94,2,24.51,4.45,0.165,0.275,0.56
Niger,Africa,12525094,1267000,9.9,0,-0.67,121.69,17.6,1.9,3.54,0.01,1,50.73,20.91,0.39,0.17,0.44
Nigeria,Africa,131859731,923768,142.7,0.09,0.26,98.8,68,9.3,31.29,2.96,1.5,40.43,16.94,0.269,0.487,0.244
N.MarianaIslands,Oceania,82459,477,172.9,310.69,9.61,7.11,97,254.7,13.04,4.35,2,19.43,2.29,,,
Norway,Europe,4610820,323802,14.2,7.77,1.74,3.7,100,461.7,2.87,0,3,11.46,9.4,0.021,0.415,0.564
Oman,Asia,3102229,212460,14.6,0.98,0.28,19.51,75.8,85.5,0,0.14,1,36.24,3.81,0.027,0.39,0.583
Pakistan,Asia,165803560,803940,206.2,0.13,-2.77,72.44,45.7,31.8,27.87,0.87,1,29.74,8.23,0.216,0.251,0.533
Palau,Oceania,20579,458,44.9,331.66,2.85,14.84,92,325.6,8.7,4.35,2,18.03,6.8,0.062,0.12,0.818
Panama,NorthAmerica,3191319,78200,40.8,3.18,-0.91,20.47,92.6,137.9,7.36,1.98,2,21.74,5.36,0.068,0.156,0.776
PapuaNewGuinea,Oceania,5670544,462840,12.3,1.11,0,51.45,64.6,10.9,0.46,1.44,2,29.36,7.25,0.353,0.381,0.266
Paraguay,SouthAmerica,6506464,406750,16,0,-0.08,25.63,94,49.2,7.6,0.23,2,29.1,4.49,0.224,0.207,0.569
Peru,SouthAmerica,28302603,1285220,22,0.19,-1.05,31.94,90.9,79.5,2.89,0.4,1.5,20.48,6.23,0.08,0.27,0.65
Philippines,Asia,89468677,300000,298.2,12.1,-1.5,23.51,92.6,38.4,18.95,16.77,2,24.89,5.41,0.144,0.326,0.53
Poland,Europe,38536869,312685,123.3,0.16,-0.49,8.51,99.8,306.3,45.91,1.12,3,9.85,9.89,0.05,0.311,0.64
Portugal,Europe,10605870,92391,114.8,1.94,3.57,5.05,93.3,399.2,21.75,7.81,3,10.72,10.5,0.053,0.274,0.673
PuertoRico,NorthAmerica,3927188,13790,284.8,3.63,-1.46,8.24,94.1,283.1,3.95,5.52,2,12.77,7.65,0.01,0.45,0.54
Qatar,Asia,885359,11437,77.4,4.92,16.29,18.61,82.5,232,1.64,0.27,1,15.56,4.72,0.002,0.801,0.197
Reunion,Africa,787584,2517,312.9,8.22,0,7.78,88.9,380.9,13.6,1.2,2,18.9,5.49,0.08,0.19,0.73
Romania,Europe,22303552,237500,93.9,0.09,-0.13,26.43,98.4,196.9,40.82,2.25,3,10.7,11.77,0.101,0.35,0.549
Russia,Asia,142893540,17075200,8.4,0.22,1.02,15.39,99.6,280.6,7.33,0.11,,9.95,14.65,0.054,0.371,0.575
Rwanda,Africa,8648248,26338,328.4,0,0,91.23,70.4,2.7,40.54,12.16,3,40.37,16.09,0.401,0.229,0.37
SaintHelena,Africa,7502,413,18.2,14.53,0,19,97,293.3,12.9,0,,12.13,6.53,,,
SaintKitts&Nevis,NorthAmerica,39129,261,149.9,51.72,-7.11,14.49,97,638.9,19.44,2.78,2,18.02,8.33,0.035,0.258,0.707
SaintLucia,SouthAmerica,168458,616,273.5,25.65,-2.67,13.53,67,303.3,6.56,22.95,2,19.68,5.08,0.07,0.2,0.73
StPierre&Miquelon,NorthAmerica,7026,242,29,49.59,-4.86,7.54,99,683.2,13.04,0,,13.52,6.83,,,
SaintVincentandtheGrenadines,NorthAmerica,117848,389,303,21.59,-7.64,14.78,96,190.9,17.95,17.95,2,16.18,5.98,0.1,0.26,0.64
Samoa,Oceania,176908,2944,60.1,13.69,-11.7,27.71,99.7,75.2,21.2,24.38,2,16.43,6.62,0.114,0.584,0.302
SanMarino,Europe,29251,61,479.5,0,10.98,5.73,96,704.3,16.67,0,,10.02,8.17,,,
SaoTome&Principe,Africa,193413,1001,193.2,20.88,-2.72,43.11,79.3,36.2,6.25,48.96,2,40.25,6.47,0.167,0.148,0.684
SaudiArabia,Asia,27019731,1960582,13.8,0.13,-2.71,13.24,78.8,140.6,1.67,0.09,1,29.34,2.58,0.033,0.613,0.354
Senegal,Africa,11987121,196190,61.1,0.27,0.2,55.51,40.2,22.2,12.78,0.21,2,32.78,9.42,0.172,0.209,0.619
